"","workerid","firstutterance","noun","nounclass","slide_number","predicate","class","response","language","school","age","assess","education","lived","level","family","years","describe","classes","gender.1"
"504","19","no es","tomate","food","12","fresco","age",0.03,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"505","19","no es","queso","food","13","americano","nationality",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"506","19","no es","zanahoria","food","14","cuadrado","shape",0.01,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"507","19","es","televisi&oacute;n ","furniture","15","bueno","quality",0.01,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"508","19","es","televisi&oacute;n ","furniture","16","amarillo","color",0.01,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"509","19","no es","silla","furniture","17","verde","color",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"510","19","est&aacute;","pl&aacute;tano","food","18","podrido","age",0.01,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"511","19","no es","pl&aacute;tano","food","19","marr&oacute;n","color",0.03,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"512","19","no es","ventilador","furniture","20","viejo","age",0.01,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"513","19","es","zanahoria","food","21","enorme","size",0.03,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"514","19","no es","televisi&oacute;n ","furniture","22","corto","size",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"515","19","no es","silla","furniture","23","grande","size",0,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"516","19","es","queso","food","24","redondo","shape",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"517","19","no es","pl&aacute;tano","food","25","rojo","color",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"518","19","es","sof&aacute; ","furniture","26","morado","color",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"519","19","no es","ventilador","furniture","27","suave","texture",0.04,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"520","19","es","zanahoria","food","28","nuevo","age",0.02,"Espanol","most",37,"Yes","4","both8","native","span","mostlive","SpanSpan","no","Male"
"547","21","no es","queso","food","3","largo","size",1,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"548","21","no es","sof&aacute; ","furniture","4","peque&ntilde;o","size",0.52,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"549","21","es","ventilador","furniture","5","rojo","color",0.05,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"550","21","no es","escritorio","furniture","6","marr&oacute;n","color",0,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"551","21","es","zanahoria","food","7","azul","color",0,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"552","21","es","ventilador","furniture","8","amarillo","color",0,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"553","21","es","televisi&oacute;n ","furniture","9","mexicano","nationality",0.19,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"554","21","es","zanahoria","food","10","verde","color",0.15,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"555","21","est&aacute;","escritorio","furniture","11","podrido","age",0.79,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"556","21","es","queso","food","12","viejo","age",0.85,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"557","21","es","ventilador","furniture","13","malo","quality",0,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"558","21","es","silla","furniture","14","cuadrado","shape",0.92,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"559","21","no es","escritorio","furniture","15","enorme","size",0.52,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"560","21","no es","televisi&oacute;n ","furniture","16","grande","size",0.72,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"561","21","no es","manzana","food","17","corto","size",0,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"562","21","es","tomate","food","18","suave","texture",0.85,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"563","21","no es","silla","furniture","19","min&uacute;sculo","size",0.48,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"564","21","no es","queso","food","20","bueno","quality",0.7,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"565","21","es","manzana","food","21","americano","nationality",0.38,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"566","21","es","queso","food","22","nuevo","age",0.82,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"567","21","es","queso","food","23","fresco","age",0.72,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"568","21","no es","silla","furniture","24","duro","texture",0.72,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"569","21","no es","televisi&oacute;n ","furniture","25","redondo","shape",0.46,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"570","21","no es","pl&aacute;tano","food","26","morado","color",0.09,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"571","21","no es","tomate","food","27","espa&ntilde;ol","nationality",0.25,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"572","21","no es","tomate","food","28","liso","texture",0.19,"Español","most",35,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Female"
"807","31","no es","zanahoria","food","3","viejo","age",0.13,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"808","31","no es","tomate","food","4","largo","size",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"809","31","es","televisi&oacute;n ","furniture","5","cuadrado","shape",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"810","31","es","zanahoria","food","6","peque&ntilde;o","size",1,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"811","31","no es","ventilador","furniture","7","grande","size",0.98,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"812","31","no es","pl&aacute;tano","food","8","nuevo","age",0.18,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"813","31","es","televisi&oacute;n ","furniture","9","mexicano","nationality",1,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"814","31","no es","manzana","food","10","americano","nationality",0.09,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"815","31","es","televisi&oacute;n ","furniture","11","rojo","color",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"816","31","es","silla","furniture","12","min&uacute;sculo","size",0.83,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"817","31","no es","pl&aacute;tano","food","13","morado","color",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"818","31","no es","ventilador","furniture","14","bueno","quality",1,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"819","31","no es","manzana","food","15","corto","size",0.83,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"820","31","es","pl&aacute;tano","food","16","azul","color",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"821","31","es","tomate","food","17","suave","texture",1,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"822","31","es","manzana","food","18","malo","quality",0.93,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"823","31","es","silla","furniture","19","verde","color",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"824","31","es","pl&aacute;tano","food","20","marr&oacute;n","color",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"825","31","est&aacute;","sof&aacute; ","furniture","21","podrido","age",0.75,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"826","31","es","escritorio","furniture","22","liso","texture",0.77,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"827","31","es","sof&aacute; ","furniture","23","enorme","size",0.85,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"828","31","no es","tomate","food","24","duro","texture",0.89,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"829","31","no es","escritorio","furniture","25","redondo","shape",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"830","31","es","televisi&oacute;n ","furniture","26","fresco","age",0.09,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"831","31","es","pl&aacute;tano","food","27","amarillo","color",0,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"832","31","no es","zanahoria","food","28","espa&ntilde;ol","nationality",0.99,"Español","none",25,"Yes","2","both8","native","span","mostlive","SpanSpan","no","Male"
"911","35","no es","silla","furniture","3","redondo","shape",0.95,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"912","35","no es","tomate","food","4","viejo","age",0.02,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"913","35","no es","sof&aacute; ","furniture","5","peque&ntilde;o","size",0.97,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"914","35","es","queso","food","6","grande","size",0.97,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"915","35","es","manzana","food","7","azul","color",0,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"916","35","es","pl&aacute;tano","food","8","liso","texture",0.04,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"917","35","es","queso","food","9","corto","size",0.97,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"918","35","es","pl&aacute;tano","food","10","min&uacute;sculo","size",0.99,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"919","35","es","sof&aacute; ","furniture","11","enorme","size",0.98,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"920","35","no es","ventilador","furniture","12","mexicano","nationality",0.02,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"921","35","no es","zanahoria","food","13","malo","quality",0.97,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"922","35","no es","televisi&oacute;n ","furniture","14","duro","texture",0.02,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"923","35","no es","televisi&oacute;n ","furniture","15","cuadrado","shape",0.98,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"924","35","no es","manzana","food","16","amarillo","color",0.04,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"925","35","no es","manzana","food","17","americano","nationality",0,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
"926","35","es","queso","food","18","rojo","color",0.02,"Español","none",26,"Yes","3","both8","native","span","mostlive","SpanSpan","no","Female"
