"","workerid","noun","gender","nounclass","slide_number","predicate1","predicate2","class1","class2","response","language","school","age","assess","education","lived","level","family","years","describe","classes"
"44","1","sof&aacute; ","masculine","furniture","20","podrido","marr&oacute;n","age","color",0.66,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"45","1","ventilador","masculine","furniture","21","nuevo","largo","age","size",0.17,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"46","1","manzana","feminine","food","22","azul","de madera","color","material",0.89,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"47","1","escritorio","masculine","furniture","23","liso","podrido","texture","age",0.82,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"48","1","queso","masculine","food","24","fresco","verde","age","color",0.12,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"49","1","tomate","masculine","food","25","cuadrado","metal","shape","material",0.24,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"50","1","queso","masculine","food","26","suave","corto","texture","size",0.75,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"51","1","silla","feminine","furniture","27","largo","cuadrado","size","shape",0.78,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"52","1","televisi&oacute;n ","feminine","furniture","28","peque&ntilde;o","suave","size","texture",0.95,"Espanol","none","41","Yes","1","both8","native","span","mostlive","SpanSpan","no"
"261","10","tomate","masculine","food","3","azul","grande","color","size",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"262","10","zanahoria","feminine","food","4","nuevo","suave","age","texture",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"263","10","televisi&oacute;n ","feminine","furniture","5","nuevo","grande","age","size",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"264","10","queso","masculine","food","6","podrido","metal","age","material",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"265","10","manzana","feminine","food","7","bueno","enorme","quality","size",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"266","10","televisi&oacute;n ","feminine","furniture","8","viejo","enorme","age","size",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"267","10","sof&aacute; ","masculine","furniture","9","pl&aacute;stico","min&uacute;sculo","material","size",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"268","10","zanahoria","feminine","food","10","rojo","largo","color","size",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"269","10","silla","feminine","furniture","11","corto","duro","size","texture",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"270","10","queso","masculine","food","12","rojo","grande","color","size",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"271","10","sof&aacute; ","masculine","furniture","13","nuevo","bueno","age","quality",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"272","10","ventilador","masculine","furniture","14","corto","nuevo","size","age",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"273","10","zanahoria","feminine","food","15","malo","amarillo","quality","color",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"274","10","escritorio","masculine","furniture","16","metal","bueno","material","quality",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"275","10","pl&aacute;tano","masculine","food","17","verde","de madera","color","material",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"276","10","televisi&oacute;n ","feminine","furniture","18","de madera","malo","material","quality",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"277","10","tomate","masculine","food","19","viejo","malo","age","quality",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"278","10","zanahoria","feminine","food","20","grande","viejo","size","age",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"279","10","manzana","feminine","food","21","verde","metal","color","material",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"280","10","tomate","masculine","food","22","suave","corto","texture","size",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"281","10","pl&aacute;tano","masculine","food","23","cuadrado","peque&ntilde;o","shape","size",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"282","10","queso","masculine","food","24","largo","azul","size","color",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"283","10","pl&aacute;tano","masculine","food","25","fresco","rojo","age","color",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"284","10","sof&aacute; ","masculine","furniture","26","rojo","largo","color","size",0,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"285","10","zanahoria","feminine","food","27","corto","fresco","size","age",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"286","10","queso","masculine","food","28","grande","nuevo","size","age",1,"Espanol","none","23","Yes","3","both8","native","spaneng","mostlive","SpanSpan","noclasses"
"287","11","televisi&oacute;n ","feminine","furniture","3","podrido","largo","age","size",0.5,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"288","11","manzana","feminine","food","4","nuevo","pl&aacute;stico","age","material",0.62,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"289","11","manzana","feminine","food","5","cuadrado","bueno","shape","quality",0.32,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"290","11","manzana","feminine","food","6","de madera","corto","material","size",0.21,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"291","11","ventilador","masculine","furniture","7","marr&oacute;n","enorme","color","size",0.34,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"292","11","queso","masculine","food","8","bueno","largo","quality","size",0.6,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"293","11","tomate","masculine","food","9","de madera","duro","material","texture",0.27,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"294","11","manzana","feminine","food","10","corto","pl&aacute;stico","size","material",0.72,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"295","11","sof&aacute; ","masculine","furniture","11","nuevo","malo","age","quality",0.19,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"296","11","sof&aacute; ","masculine","furniture","12","nuevo","suave","age","texture",0.9,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"297","11","escritorio","masculine","furniture","13","verde","enorme","color","size",0.69,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"298","11","queso","masculine","food","14","bueno","min&uacute;sculo","quality","size",0.71,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"299","11","sof&aacute; ","masculine","furniture","15","nuevo","grande","age","size",0.18,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"300","11","ventilador","masculine","furniture","16","de madera","amarillo","material","color",0.15,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"301","11","sof&aacute; ","masculine","furniture","17","pl&aacute;stico","corto","material","size",0.25,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"302","11","ventilador","masculine","furniture","18","grande","bueno","size","quality",0.9,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"303","11","pl&aacute;tano","masculine","food","19","de madera","azul","material","color",0.5,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"304","11","escritorio","masculine","furniture","20","min&uacute;sculo","podrido","size","age",0.19,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"305","11","queso","masculine","food","21","duro","cuadrado","texture","shape",0.72,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"306","11","televisi&oacute;n ","feminine","furniture","22","bueno","amarillo","quality","color",0.81,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"307","11","escritorio","masculine","furniture","23","suave","grande","texture","size",0.16,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"308","11","televisi&oacute;n ","feminine","furniture","24","largo","liso","size","texture",0.18,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"309","11","televisi&oacute;n ","feminine","furniture","25","redondo","largo","shape","size",0.26,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"310","11","manzana","feminine","food","26","metal","bueno","material","quality",0.18,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"311","11","tomate","masculine","food","27","azul","metal","color","material",0.79,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"312","11","ventilador","masculine","furniture","28","enorme","marr&oacute;n","size","color",0.87,"Espanol","most","27","Yes","2","both8","native","span","mostlive","SpanSpan","yes"
"469","18","televisi&oacute;n ","feminine","furniture","3","duro","verde","texture","color",0.04,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"470","18","queso","masculine","food","4","metal","marr&oacute;n","material","color",0.02,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"471","18","queso","masculine","food","5","morado","fresco","color","age",0.95,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"472","18","sof&aacute; ","masculine","furniture","6","bueno","rojo","quality","color",0.99,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"473","18","silla","feminine","furniture","7","viejo","suave","age","texture",0.03,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"474","18","queso","masculine","food","8","rojo","cuadrado","color","shape",0.97,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"475","18","zanahoria","feminine","food","9","corto","suave","size","texture",0.01,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"476","18","televisi&oacute;n ","feminine","furniture","10","enorme","duro","size","texture",0.01,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"477","18","pl&aacute;tano","masculine","food","11","verde","pl&aacute;stico","color","material",0.01,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"478","18","ventilador","masculine","furniture","12","rojo","pl&aacute;stico","color","material",0.01,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"479","18","zanahoria","feminine","food","13","duro","grande","texture","size",0.99,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"480","18","silla","feminine","furniture","14","verde","suave","color","texture",0.97,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"481","18","silla","feminine","furniture","15","de madera","min&uacute;sculo","material","size",0.99,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"482","18","manzana","feminine","food","16","duro","azul","texture","color",0.99,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"483","18","manzana","feminine","food","17","grande","redondo","size","shape",0.98,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"484","18","manzana","feminine","food","18","amarillo","liso","color","texture",0,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"485","18","queso","masculine","food","19","redondo","largo","shape","size",0.07,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"486","18","queso","masculine","food","20","duro","rojo","texture","color",0.02,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"487","18","manzana","feminine","food","21","azul","suave","color","texture",0.97,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"488","18","ventilador","masculine","furniture","22","largo","redondo","size","shape",0.98,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"489","18","pl&aacute;tano","masculine","food","23","peque&ntilde;o","redondo","size","shape",0.99,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"490","18","pl&aacute;tano","masculine","food","24","nuevo","grande","age","size",0,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"491","18","tomate","masculine","food","25","azul","metal","color","material",0,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"492","18","televisi&oacute;n ","feminine","furniture","26","redondo","nuevo","shape","age",0,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"493","18","sof&aacute; ","masculine","furniture","27","verde","fresco","color","age",0.99,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"494","18","tomate","masculine","food","28","verde","redondo","color","shape",0.95,"Espanol","most","33","Yes","4","both8","native","spaneng","mostlive","SpanSpan","yes"
"599","23","pl&aacute;tano","masculine","food","3","fresco","min&uacute;sculo","age","size",0.97,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"600","23","televisi&oacute;n ","feminine","furniture","4","grande","azul","size","color",0.99,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"601","23","queso","masculine","food","5","peque&ntilde;o","amarillo","size","color",0.01,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"602","23","queso","masculine","food","6","grande","liso","size","texture",0.96,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"603","23","queso","masculine","food","7","largo","amarillo","size","color",0.04,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"604","23","ventilador","masculine","furniture","8","corto","duro","size","texture",0.03,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"605","23","pl&aacute;tano","masculine","food","9","enorme","duro","size","texture",0.96,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"606","23","manzana","feminine","food","10","fresco","marr&oacute;n","age","color",0.94,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"607","23","tomate","masculine","food","11","suave","grande","texture","size",0.02,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"608","23","pl&aacute;tano","masculine","food","12","verde","de madera","color","material",0.94,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"609","23","manzana","feminine","food","13","marr&oacute;n","de madera","color","material",0.96,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"610","23","pl&aacute;tano","masculine","food","14","amarillo","podrido","color","age",0.93,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"611","23","manzana","feminine","food","15","min&uacute;sculo","podrido","size","age",0.96,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"612","23","queso","masculine","food","16","bueno","de madera","quality","material",0,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"613","23","zanahoria","feminine","food","17","de madera","duro","material","texture",0.96,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"614","23","tomate","masculine","food","18","azul","grande","color","size",0.01,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"615","23","televisi&oacute;n ","feminine","furniture","19","verde","suave","color","texture",0.97,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"616","23","tomate","masculine","food","20","nuevo","min&uacute;sculo","age","size",0.98,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"617","23","queso","masculine","food","21","min&uacute;sculo","verde","size","color",0.03,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"618","23","sof&aacute; ","masculine","furniture","22","metal","morado","material","color",0.96,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"619","23","sof&aacute; ","masculine","furniture","23","fresco","pl&aacute;stico","age","material",0.03,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"620","23","ventilador","masculine","furniture","24","fresco","enorme","age","size",0.97,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"621","23","televisi&oacute;n ","feminine","furniture","25","pl&aacute;stico","corto","material","size",0.95,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"622","23","sof&aacute; ","masculine","furniture","26","bueno","nuevo","quality","age",0.05,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"623","23","pl&aacute;tano","masculine","food","27","verde","redondo","color","shape",0.97,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"624","23","televisi&oacute;n ","feminine","furniture","28","viejo","liso","age","texture",0.97,"espanol","most","42","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"651","25","escritorio","masculine","furniture","3","metal","redondo","material","shape",0.62,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"652","25","zanahoria","feminine","food","4","duro","marr&oacute;n","texture","color",0.22,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"653","25","queso","masculine","food","5","viejo","bueno","age","quality",0.38,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"654","25","sof&aacute; ","masculine","furniture","6","cuadrado","metal","shape","material",0.5,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"655","25","sof&aacute; ","masculine","furniture","7","metal","peque&ntilde;o","material","size",0.51,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"656","25","escritorio","masculine","furniture","8","grande","rojo","size","color",0.3,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"657","25","tomate","masculine","food","9","bueno","corto","quality","size",0.35,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"658","25","escritorio","masculine","furniture","10","podrido","liso","age","texture",0.39,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"659","25","sof&aacute; ","masculine","furniture","11","peque&ntilde;o","rojo","size","color",0.36,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"660","25","zanahoria","feminine","food","12","fresco","de madera","age","material",0.65,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"661","25","silla","feminine","furniture","13","suave","amarillo","texture","color",0.35,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"662","25","zanahoria","feminine","food","14","de madera","suave","material","texture",0.33,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"663","25","zanahoria","feminine","food","15","de madera","enorme","material","size",0.31,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"664","25","manzana","feminine","food","16","enorme","viejo","size","age",0.73,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"665","25","silla","feminine","furniture","17","fresco","redondo","age","shape",0.28,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"666","25","silla","feminine","furniture","18","rojo","cuadrado","color","shape",0.34,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"667","25","sof&aacute; ","masculine","furniture","19","verde","duro","color","texture",0.27,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"668","25","sof&aacute; ","masculine","furniture","20","pl&aacute;stico","suave","material","texture",0.68,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"669","25","sof&aacute; ","masculine","furniture","21","pl&aacute;stico","min&uacute;sculo","material","size",0.68,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"670","25","tomate","masculine","food","22","suave","enorme","texture","size",0.3,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"671","25","pl&aacute;tano","masculine","food","23","azul","liso","color","texture",0.72,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"672","25","pl&aacute;tano","masculine","food","24","suave","min&uacute;sculo","texture","size",0.64,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"673","25","queso","masculine","food","25","viejo","enorme","age","size",0.7,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"674","25","tomate","masculine","food","26","bueno","fresco","quality","age",0.26,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"675","25","pl&aacute;tano","masculine","food","27","liso","rojo","texture","color",0.75,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"676","25","silla","feminine","furniture","28","morado","malo","color","quality",0.51,"espanol","most","53","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"729","28","manzana","feminine","food","3","largo","rojo","size","color",1,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"730","28","manzana","feminine","food","4","amarillo","liso","color","texture",0.8,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"731","28","queso","masculine","food","5","nuevo","grande","age","size",0.75,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"732","28","manzana","feminine","food","6","redondo","amarillo","shape","color",0.2,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"733","28","queso","masculine","food","7","viejo","azul","age","color",0,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"734","28","televisi&oacute;n ","feminine","furniture","8","marr&oacute;n","de madera","color","material",0.85,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"735","28","queso","masculine","food","9","grande","azul","size","color",0.11,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"736","28","ventilador","masculine","furniture","10","cuadrado","fresco","shape","age",0.9,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"737","28","escritorio","masculine","furniture","11","pl&aacute;stico","morado","material","color",0.16,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"738","28","queso","masculine","food","12","liso","pl&aacute;stico","texture","material",0.25,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"739","28","sof&aacute; ","masculine","furniture","13","malo","duro","quality","texture",0.09,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"740","28","ventilador","masculine","furniture","14","cuadrado","metal","shape","material",0.9,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"741","28","silla","feminine","furniture","15","verde","pl&aacute;stico","color","material",0.91,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"742","28","tomate","masculine","food","16","largo","azul","size","color",0.02,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"743","28","queso","masculine","food","17","amarillo","redondo","color","shape",0.22,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"744","28","queso","masculine","food","18","peque&ntilde;o","fresco","size","age",0.97,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"745","28","ventilador","masculine","furniture","19","corto","azul","size","color",0.09,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"746","28","tomate","masculine","food","20","de madera","fresco","material","age",0.91,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"747","28","ventilador","masculine","furniture","21","marr&oacute;n","malo","color","quality",0.92,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"748","28","silla","feminine","furniture","22","largo","malo","size","quality",0.98,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"749","28","manzana","feminine","food","23","malo","amarillo","quality","color",0,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"750","28","tomate","masculine","food","24","marr&oacute;n","viejo","color","age",0.94,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"751","28","ventilador","masculine","furniture","25","largo","metal","size","material",0.12,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"752","28","silla","feminine","furniture","26","largo","amarillo","size","color",0.06,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
"753","28","silla","feminine","furniture","27","peque&ntilde;o","podrido","size","age",0.92,"espanol ","most","36","Yes","3","both8","native","span","mostlive","SpanSpan","yes"
