class1,class2,Answer.time_in_minutes,slide_number,response,predicate2,noun,predicate1,gender,nounclass,workerid
texture,nationality,1.4333666666666667,16,0.29,americano,manzana,suave,feminine,food,2
size,color,1.4333666666666667,17,0.23,morado,sof&aacute; ,largo,masculine,furniture,2
color,shape,1.4333666666666667,18,0.11,cuadrado,silla,azul,feminine,furniture,2
color,size,1.4333666666666667,19,0.27,min&uacute;sculo,zanahoria,azul,feminine,food,2
color,texture,1.4333666666666667,20,0.37,suave,queso,marr&oacute;n,masculine,food,2
shape,size,1.4333666666666667,21,0.32,corto,zanahoria,cuadrado,feminine,food,2
quality,texture,1.4333666666666667,22,0.27,duro,sof&aacute; ,malo,masculine,furniture,2
color,age,1.4333666666666667,23,0.17,nuevo,zanahoria,amarillo,feminine,food,2
color,size,1.4333666666666667,24,0.27,peque&ntilde;o,televisi&oacute;n ,verde,feminine,furniture,2
color,age,1.4333666666666667,25,0.18,nuevo,pl&aacute;tano,amarillo,masculine,food,2
age,texture,1.4333666666666667,26,0.34,duro,manzana,podrido,feminine,food,2
shape,texture,1.4333666666666667,27,0.17,duro,manzana,cuadrado,feminine,food,2
quality,size,1.4333666666666667,28,0.33,enorme,zanahoria,bueno,feminine,food,2
color,shape,4.634816666666667,3,0.97,cuadrado,pl&aacute;tano,amarillo,masculine,food,3
age,shape,4.634816666666667,4,0.01,cuadrado,zanahoria,podrido,feminine,food,3
age,color,4.634816666666667,5,0.01,marr&oacute;n,zanahoria,podrido,feminine,food,3
quality,color,4.634816666666667,6,0.02,marr&oacute;n,sof&aacute; ,malo,masculine,furniture,3
texture,age,4.634816666666667,7,0.96,nuevo,queso,liso,masculine,food,3
size,nationality,4.634816666666667,8,0.02,mexicano,zanahoria,largo,feminine,food,3
quality,size,4.634816666666667,9,0,corto,ventilador,bueno,masculine,furniture,3
age,quality,4.634816666666667,10,0.97,malo,pl&aacute;tano,fresco,masculine,food,3
nationality,size,4.634816666666667,11,0.97,peque&ntilde;o,escritorio,americano,masculine,furniture,3
quality,nationality,4.634816666666667,12,0,espa&ntilde;ol,escritorio,bueno,masculine,furniture,3
nationality,texture,4.634816666666667,13,0.96,duro,televisi&oacute;n ,americano,feminine,furniture,3
texture,quality,4.634816666666667,14,0.99,bueno,zanahoria,liso,feminine,food,3
color,age,4.634816666666667,15,0.94,podrido,ventilador,azul,masculine,furniture,3
color,size,4.634816666666667,16,0.93,largo,manzana,azul,feminine,food,3
age,size,4.634816666666667,17,0.07,peque&ntilde;o,tomate,nuevo,masculine,food,3
size,quality,4.634816666666667,18,0.05,bueno,escritorio,grande,masculine,furniture,3
nationality,shape,4.634816666666667,19,0.96,redondo,escritorio,mexicano,masculine,furniture,3
color,texture,4.634816666666667,20,0.94,duro,sof&aacute; ,amarillo,masculine,furniture,3
size,color,4.634816666666667,21,0.02,amarillo,tomate,corto,masculine,food,3
texture,color,4.634816666666667,22,0.95,morado,televisi&oacute;n ,suave,feminine,furniture,3
size,quality,4.634816666666667,23,0.03,bueno,tomate,enorme,masculine,food,3
texture,age,4.634816666666667,24,0.98,nuevo,ventilador,liso,masculine,furniture,3
size,quality,4.634816666666667,25,0.94,bueno,televisi&oacute;n ,enorme,feminine,furniture,3
shape,age,4.634816666666667,26,1,fresco,manzana,redondo,feminine,food,3
age,size,4.634816666666667,27,0.06,corto,manzana,podrido,feminine,food,3
age,size,4.634816666666667,28,0.04,peque&ntilde;o,silla,viejo,feminine,furniture,3
size,color,7.683216666666667,3,0,rojo,sof&aacute; ,peque&ntilde;o,masculine,furniture,4
nationality,size,7.683216666666667,4,0.93,enorme,televisi&oacute;n ,espa&ntilde;ol,feminine,furniture,4
color,quality,7.683216666666667,5,1,bueno,tomate,verde,masculine,food,4
nationality,quality,7.683216666666667,6,1,malo,sof&aacute; ,americano,masculine,furniture,4
color,size,7.683216666666667,7,1,min&uacute;sculo,ventilador,amarillo,masculine,furniture,4
age,size,7.683216666666667,8,1,enorme,tomate,podrido,masculine,food,4
size,color,7.683216666666667,9,0,verde,silla,enorme,feminine,furniture,4
texture,size,7.683216666666667,10,1,peque&ntilde;o,ventilador,liso,masculine,furniture,4
color,shape,7.683216666666667,11,1,cuadrado,pl&aacute;tano,rojo,masculine,food,4
color,nationality,7.683216666666667,12,0,americano,pl&aacute;tano,rojo,masculine,food,4
size,age,7.683216666666667,13,0,viejo,tomate,grande,masculine,food,4
color,nationality,7.683216666666667,14,0,mexicano,escritorio,verde,masculine,furniture,4
shape,color,7.683216666666667,15,0,morado,manzana,cuadrado,feminine,food,4
age,nationality,7.683216666666667,16,1,mexicano,silla,viejo,feminine,furniture,4
shape,age,7.683216666666667,17,0,fresco,queso,redondo,masculine,food,4
color,texture,7.683216666666667,18,1,duro,ventilador,morado,masculine,furniture,4
color,nationality,7.683216666666667,19,1,mexicano,escritorio,azul,masculine,furniture,4
nationality,age,7.683216666666667,20,1,nuevo,silla,mexicano,feminine,furniture,4
size,color,7.683216666666667,21,0,amarillo,tomate,enorme,masculine,food,4
color,size,7.683216666666667,22,1,enorme,ventilador,verde,masculine,furniture,4
quality,age,7.683216666666667,23,0,nuevo,tomate,bueno,masculine,food,4
color,size,7.683216666666667,24,1,largo,tomate,morado,masculine,food,4
color,age,7.683216666666667,25,0,podrido,televisi&oacute;n ,amarillo,feminine,furniture,4
size,color,7.683216666666667,26,0,morado,escritorio,min&uacute;sculo,masculine,furniture,4
size,nationality,7.683216666666667,27,0,americano,silla,grande,feminine,furniture,4
shape,texture,7.683216666666667,28,1,duro,manzana,cuadrado,feminine,food,4
color,size,13.7297,3,1,peque&ntilde;o,escritorio,verde,masculine,furniture,5
quality,color,13.7297,4,0,rojo,zanahoria,malo,feminine,food,5
color,texture,13.7297,5,0,liso,queso,amarillo,masculine,food,5
size,color,13.7297,6,0,azul,silla,min&uacute;sculo,feminine,furniture,5
color,texture,13.7297,7,1,duro,tomate,rojo,masculine,food,5
texture,shape,13.7297,8,0.17,redondo,tomate,duro,masculine,food,5
age,color,13.7297,9,0.11,marr&oacute;n,ventilador,viejo,masculine,furniture,5
color,nationality,13.7297,10,0.33,americano,silla,rojo,feminine,furniture,5
age,color,13.7297,11,0.5,marr&oacute;n,televisi&oacute;n ,fresco,feminine,furniture,5
age,color,13.7297,12,0.04,verde,pl&aacute;tano,fresco,masculine,food,5
age,nationality,13.7297,13,0.46,mexicano,televisi&oacute;n ,podrido,feminine,furniture,5
nationality,quality,13.7297,14,0.64,malo,pl&aacute;tano,americano,masculine,food,5
texture,shape,13.7297,15,0.31,cuadrado,ventilador,duro,masculine,furniture,5
age,texture,13.7297,16,0.86,suave,zanahoria,fresco,feminine,food,5
color,shape,13.7297,17,0.52,redondo,zanahoria,morado,feminine,food,5
quality,shape,13.7297,18,0.18,cuadrado,queso,malo,masculine,food,5
age,size,13.7297,19,0.71,peque&ntilde;o,zanahoria,fresco,feminine,food,5
quality,nationality,13.7297,20,0.06,mexicano,pl&aacute;tano,malo,masculine,food,5
shape,color,13.7297,21,0.65,amarillo,tomate,cuadrado,masculine,food,5
color,quality,13.7297,22,0.08,malo,queso,rojo,masculine,food,5
shape,color,13.7297,23,0.86,marr&oacute;n,sof&aacute; ,redondo,masculine,furniture,5
age,color,13.7297,24,0.01,verde,sof&aacute; ,viejo,masculine,furniture,5
age,size,13.7297,25,0.02,grande,sof&aacute; ,nuevo,masculine,furniture,5
texture,nationality,13.7297,26,0.64,mexicano,escritorio,duro,masculine,furniture,5
texture,size,13.7297,27,0.82,peque&ntilde;o,manzana,duro,feminine,food,5
size,color,13.7297,28,0.13,amarillo,escritorio,min&uacute;sculo,masculine,furniture,5
age,nationality,4.602266666666667,3,0.97,americano,queso,viejo,masculine,food,6
texture,nationality,4.602266666666667,4,0.03,mexicano,televisi&oacute;n ,duro,feminine,furniture,6
texture,color,4.602266666666667,5,0.03,marr&oacute;n,tomate,liso,masculine,food,6
nationality,color,4.602266666666667,6,0.03,verde,ventilador,espa&ntilde;ol,masculine,furniture,6
quality,age,4.602266666666667,7,0.97,nuevo,manzana,malo,feminine,food,6
quality,age,4.602266666666667,8,0.95,viejo,sof&aacute; ,malo,masculine,furniture,6
color,quality,4.602266666666667,9,0.05,malo,televisi&oacute;n ,verde,feminine,furniture,6
texture,quality,4.602266666666667,10,0.06,bueno,sof&aacute; ,liso,masculine,furniture,6
age,size,4.602266666666667,11,0.05,enorme,televisi&oacute;n ,fresco,feminine,furniture,6
nationality,texture,4.602266666666667,12,0,duro,televisi&oacute;n ,americano,feminine,furniture,6
color,age,4.602266666666667,13,0.96,viejo,escritorio,morado,masculine,furniture,6
color,age,4.602266666666667,14,0.03,viejo,televisi&oacute;n ,amarillo,feminine,furniture,6
nationality,color,4.602266666666667,15,0.07,rojo,silla,espa&ntilde;ol,feminine,furniture,6
nationality,color,4.602266666666667,16,0.01,azul,ventilador,mexicano,masculine,furniture,6
color,texture,4.602266666666667,17,0.04,duro,pl&aacute;tano,rojo,masculine,food,6
shape,size,4.602266666666667,18,0.05,corto,televisi&oacute;n ,redondo,feminine,furniture,6
color,size,4.602266666666667,19,0.03,enorme,manzana,verde,feminine,food,6
size,texture,4.602266666666667,20,0.03,duro,manzana,corto,feminine,food,6
size,shape,4.602266666666667,21,0.95,cuadrado,escritorio,corto,masculine,furniture,6
size,texture,4.602266666666667,22,0.01,liso,tomate,largo,masculine,food,6
size,color,4.602266666666667,23,0.03,rojo,ventilador,min&uacute;sculo,masculine,furniture,6
size,color,4.602266666666667,24,0.97,rojo,ventilador,enorme,masculine,furniture,6
color,shape,4.602266666666667,25,0.96,cuadrado,sof&aacute; ,verde,masculine,furniture,6
color,nationality,4.602266666666667,26,0.03,mexicano,pl&aacute;tano,azul,masculine,food,6
nationality,color,4.602266666666667,27,0.02,verde,ventilador,americano,masculine,furniture,6
color,nationality,4.602266666666667,28,0.97,espa&ntilde;ol,silla,verde,feminine,furniture,6
nationality,texture,6.622966666666667,3,0.83,suave,manzana,mexicano,feminine,food,7
age,color,6.622966666666667,4,0.22,marr&oacute;n,televisi&oacute;n ,podrido,feminine,furniture,7
color,quality,6.622966666666667,5,0.82,bueno,zanahoria,verde,feminine,food,7
color,nationality,6.622966666666667,6,0.76,espa&ntilde;ol,ventilador,rojo,masculine,furniture,7
texture,color,6.622966666666667,7,0.23,azul,queso,suave,masculine,food,7
size,color,6.622966666666667,8,0.88,azul,sof&aacute; ,grande,masculine,furniture,7
age,quality,6.622966666666667,9,0.9,malo,silla,nuevo,feminine,furniture,7
color,quality,6.622966666666667,10,0.97,malo,queso,amarillo,masculine,food,7
size,shape,6.622966666666667,11,0.19,cuadrado,pl&aacute;tano,enorme,masculine,food,7
color,shape,6.622966666666667,12,0.91,redondo,televisi&oacute;n ,amarillo,feminine,furniture,7
color,size,6.622966666666667,13,0.93,corto,zanahoria,rojo,feminine,food,7
texture,shape,6.622966666666667,14,0.73,redondo,pl&aacute;tano,liso,masculine,food,7
size,color,6.622966666666667,15,0.99,morado,silla,largo,feminine,furniture,7
texture,quality,6.622966666666667,16,0.32,malo,escritorio,liso,masculine,furniture,7
age,shape,6.622966666666667,17,0.91,cuadrado,tomate,podrido,masculine,food,7
color,texture,6.622966666666667,18,0.78,suave,silla,verde,feminine,furniture,7
texture,color,6.622966666666667,19,0.74,marr&oacute;n,tomate,duro,masculine,food,7
age,nationality,6.622966666666667,20,0.95,mexicano,zanahoria,nuevo,feminine,food,7
texture,shape,6.622966666666667,21,0.76,cuadrado,manzana,suave,feminine,food,7
age,color,6.622966666666667,22,0.69,verde,ventilador,fresco,masculine,furniture,7
age,texture,6.622966666666667,23,0.96,liso,televisi&oacute;n ,fresco,feminine,furniture,7
size,nationality,6.622966666666667,24,0.37,espa&ntilde;ol,queso,peque&ntilde;o,masculine,food,7
shape,color,6.622966666666667,25,0.09,rojo,televisi&oacute;n ,redondo,feminine,furniture,7
color,size,6.622966666666667,26,0.68,largo,queso,morado,masculine,food,7
size,color,6.622966666666667,27,0.27,rojo,tomate,peque&ntilde;o,masculine,food,7
nationality,size,6.622966666666667,28,0.86,enorme,tomate,americano,masculine,food,7
nationality,color,8.964966666666667,3,1,morado,queso,mexicano,masculine,food,8
quality,age,8.964966666666667,4,0,podrido,zanahoria,bueno,feminine,food,8
nationality,color,8.964966666666667,5,0.01,morado,televisi&oacute;n ,espa&ntilde;ol,feminine,furniture,8
age,quality,8.964966666666667,6,0,bueno,ventilador,viejo,masculine,furniture,8
quality,size,8.964966666666667,7,0.99,peque&ntilde;o,televisi&oacute;n ,malo,feminine,furniture,8
color,size,8.964966666666667,8,0.99,grande,ventilador,azul,masculine,furniture,8
shape,size,8.964966666666667,9,0.01,peque&ntilde;o,televisi&oacute;n ,cuadrado,feminine,furniture,8
size,texture,8.964966666666667,10,1,liso,sof&aacute; ,largo,masculine,furniture,8
age,color,8.964966666666667,11,0.99,azul,silla,nuevo,feminine,furniture,8
texture,color,8.964966666666667,12,0.99,marr&oacute;n,ventilador,duro,masculine,furniture,8
age,size,8.964966666666667,13,0,grande,tomate,fresco,masculine,food,8
quality,age,8.964966666666667,14,0.01,nuevo,pl&aacute;tano,malo,masculine,food,8
size,texture,8.964966666666667,15,0.02,duro,tomate,peque&ntilde;o,masculine,food,8
size,texture,8.964966666666667,16,0.98,liso,zanahoria,largo,feminine,food,8
size,texture,8.964966666666667,17,0.99,suave,pl&aacute;tano,grande,masculine,food,8
color,size,8.964966666666667,18,0.99,min&uacute;sculo,escritorio,morado,masculine,furniture,8
nationality,age,8.964966666666667,19,1,nuevo,escritorio,americano,masculine,furniture,8
texture,nationality,8.964966666666667,20,0.01,mexicano,sof&aacute; ,duro,masculine,furniture,8
age,nationality,8.964966666666667,21,0.98,espa&ntilde;ol,queso,fresco,masculine,food,8
texture,size,8.964966666666667,22,0.98,peque&ntilde;o,pl&aacute;tano,duro,masculine,food,8
texture,size,8.964966666666667,23,0.98,grande,ventilador,liso,masculine,furniture,8
color,shape,8.964966666666667,24,0.01,cuadrado,televisi&oacute;n ,amarillo,feminine,furniture,8
size,color,8.964966666666667,25,0.01,morado,pl&aacute;tano,largo,masculine,food,8
color,size,8.964966666666667,26,0.97,largo,pl&aacute;tano,verde,masculine,food,8
nationality,color,8.964966666666667,27,1,marr&oacute;n,ventilador,mexicano,masculine,furniture,8
color,size,8.964966666666667,28,0.98,min&uacute;sculo,manzana,rojo,feminine,food,8
size,nationality,1.7717333333333334,3,0.82,mexicano,queso,corto,masculine,food,9
texture,size,1.7717333333333334,4,0.74,min&uacute;sculo,ventilador,duro,masculine,furniture,9
size,quality,1.7717333333333334,5,0.8,bueno,silla,peque&ntilde;o,feminine,furniture,9
size,color,1.7717333333333334,6,0.76,azul,tomate,corto,masculine,food,9
nationality,quality,1.7717333333333334,7,0.85,malo,pl&aacute;tano,espa&ntilde;ol,masculine,food,9
age,quality,1.7717333333333334,8,0.68,malo,zanahoria,podrido,feminine,food,9
color,size,1.7717333333333334,9,0.9,corto,silla,morado,feminine,furniture,9
size,color,1.7717333333333334,10,0.63,rojo,tomate,peque&ntilde;o,masculine,food,9
size,color,1.7717333333333334,11,0.79,marr&oacute;n,televisi&oacute;n ,min&uacute;sculo,feminine,furniture,9
size,color,1.7717333333333334,12,0.76,morado,silla,largo,feminine,furniture,9
quality,size,1.7717333333333334,13,0.87,corto,silla,bueno,feminine,furniture,9
shape,texture,1.7717333333333334,14,0.74,duro,televisi&oacute;n ,cuadrado,feminine,furniture,9
size,color,1.7717333333333334,15,0.63,marr&oacute;n,silla,grande,feminine,furniture,9
size,color,1.7717333333333334,16,0.64,amarillo,ventilador,enorme,masculine,furniture,9
age,size,1.7717333333333334,17,0.74,min&uacute;sculo,escritorio,fresco,masculine,furniture,9
color,age,1.7717333333333334,18,0.55,viejo,sof&aacute; ,azul,masculine,furniture,9
color,size,1.7717333333333334,19,0.71,grande,queso,rojo,masculine,food,9
quality,size,1.7717333333333334,20,0.81,corto,pl&aacute;tano,bueno,masculine,food,9
size,texture,1.7717333333333334,21,0.85,liso,televisi&oacute;n ,enorme,feminine,furniture,9
texture,size,1.7717333333333334,22,0.89,largo,pl&aacute;tano,liso,masculine,food,9
texture,nationality,1.7717333333333334,23,0.92,americano,manzana,suave,feminine,food,9
quality,shape,1.7717333333333334,24,0.83,redondo,sof&aacute; ,bueno,masculine,furniture,9
size,shape,1.7717333333333334,25,0.8,cuadrado,tomate,enorme,masculine,food,9
color,age,1.7717333333333334,26,0.84,podrido,queso,marr&oacute;n,masculine,food,9
nationality,age,1.7717333333333334,27,0.81,fresco,pl&aacute;tano,mexicano,masculine,food,9
texture,size,1.7717333333333334,28,0.79,peque&ntilde;o,manzana,liso,feminine,food,9
nationality,age,4.819083333333333,3,0.59,podrido,pl&aacute;tano,americano,masculine,food,10
color,size,4.819083333333333,4,0.94,corto,pl&aacute;tano,morado,masculine,food,10
age,shape,4.819083333333333,5,0.97,cuadrado,queso,nuevo,masculine,food,10
texture,age,4.819083333333333,6,0.91,fresco,manzana,duro,feminine,food,10
color,texture,4.819083333333333,7,0.87,suave,manzana,azul,feminine,food,10
size,shape,4.819083333333333,8,0.88,cuadrado,zanahoria,largo,feminine,food,10
color,quality,4.819083333333333,9,0.88,malo,ventilador,verde,masculine,furniture,10
size,color,4.819083333333333,10,0.92,marr&oacute;n,queso,largo,masculine,food,10
age,color,4.819083333333333,11,0.87,azul,manzana,podrido,feminine,food,10
color,shape,4.819083333333333,12,0.81,cuadrado,queso,amarillo,masculine,food,10
nationality,quality,4.819083333333333,13,1,malo,escritorio,mexicano,masculine,furniture,10
color,age,4.819083333333333,14,1,podrido,manzana,morado,feminine,food,10
texture,nationality,4.819083333333333,15,0.9,americano,pl&aacute;tano,duro,masculine,food,10
color,size,4.819083333333333,16,0.95,enorme,pl&aacute;tano,marr&oacute;n,masculine,food,10
color,size,4.819083333333333,17,0.95,enorme,pl&aacute;tano,morado,masculine,food,10
texture,color,4.819083333333333,18,0.93,marr&oacute;n,tomate,suave,masculine,food,10
age,size,4.819083333333333,19,0.93,grande,tomate,podrido,masculine,food,10
size,color,4.819083333333333,20,0.86,amarillo,zanahoria,peque&ntilde;o,feminine,food,10
age,shape,4.819083333333333,21,0.86,cuadrado,televisi&oacute;n ,fresco,feminine,furniture,10
quality,texture,4.819083333333333,22,0.93,suave,queso,malo,masculine,food,10
size,color,4.819083333333333,23,0.84,morado,pl&aacute;tano,largo,masculine,food,10
texture,size,4.819083333333333,24,0.99,min&uacute;sculo,sof&aacute; ,liso,masculine,furniture,10
texture,shape,4.819083333333333,25,0.9,cuadrado,escritorio,liso,masculine,furniture,10
quality,size,4.819083333333333,26,0.9,corto,tomate,malo,masculine,food,10
size,age,4.819083333333333,27,0.91,nuevo,tomate,largo,masculine,food,10
texture,quality,4.819083333333333,28,0.86,bueno,pl&aacute;tano,duro,masculine,food,10
quality,nationality,6.165816666666666,3,0.04,espa&ntilde;ol,queso,bueno,masculine,food,11
size,shape,6.165816666666666,4,0.01,cuadrado,sof&aacute; ,enorme,masculine,furniture,11
size,quality,6.165816666666666,5,0.05,malo,zanahoria,enorme,feminine,food,11
age,size,6.165816666666666,6,0.96,grande,escritorio,viejo,masculine,furniture,11
texture,nationality,6.165816666666666,7,0.98,americano,manzana,duro,feminine,food,11
color,age,6.165816666666666,8,1,fresco,manzana,morado,feminine,food,11
shape,color,6.165816666666666,9,0.98,amarillo,silla,redondo,feminine,furniture,11
age,size,6.165816666666666,10,0,largo,manzana,nuevo,feminine,food,11
nationality,color,6.165816666666666,11,0.97,rojo,queso,espa&ntilde;ol,masculine,food,11
nationality,age,6.165816666666666,12,0.03,viejo,televisi&oacute;n ,americano,feminine,furniture,11
age,quality,6.165816666666666,13,0.01,bueno,ventilador,viejo,masculine,furniture,11
size,color,6.165816666666666,14,0,morado,sof&aacute; ,grande,masculine,furniture,11
color,size,6.165816666666666,15,0.01,largo,sof&aacute; ,marr&oacute;n,masculine,furniture,11
color,nationality,6.165816666666666,16,0.98,mexicano,zanahoria,amarillo,feminine,food,11
quality,color,6.165816666666666,17,0.96,rojo,tomate,malo,masculine,food,11
size,quality,6.165816666666666,18,0.07,bueno,pl&aacute;tano,largo,masculine,food,11
nationality,texture,6.165816666666666,19,0.03,duro,queso,mexicano,masculine,food,11
size,texture,6.165816666666666,20,0.08,duro,sof&aacute; ,corto,masculine,furniture,11
shape,size,6.165816666666666,21,0.98,corto,escritorio,cuadrado,masculine,furniture,11
color,size,6.165816666666666,22,0.04,peque&ntilde;o,escritorio,amarillo,masculine,furniture,11
nationality,age,6.165816666666666,23,0.01,podrido,tomate,mexicano,masculine,food,11
age,size,6.165816666666666,24,0.06,largo,televisi&oacute;n ,nuevo,feminine,furniture,11
color,nationality,6.165816666666666,25,0.95,americano,televisi&oacute;n ,marr&oacute;n,feminine,furniture,11
texture,shape,6.165816666666666,26,0.99,redondo,zanahoria,duro,feminine,food,11
age,nationality,6.165816666666666,27,0.97,americano,pl&aacute;tano,podrido,masculine,food,11
shape,size,6.165816666666666,28,0.02,grande,pl&aacute;tano,redondo,masculine,food,11
color,age,6.0336,3,0.59,podrido,escritorio,amarillo,masculine,furniture,12
size,texture,6.0336,4,0.54,liso,zanahoria,peque&ntilde;o,feminine,food,12
quality,size,6.0336,5,1,peque&ntilde;o,escritorio,bueno,masculine,furniture,12
color,size,6.0336,6,0.55,min&uacute;sculo,televisi&oacute;n ,verde,feminine,furniture,12
texture,size,6.0336,7,0.63,largo,tomate,duro,masculine,food,12
color,texture,6.0336,8,0.32,suave,televisi&oacute;n ,verde,feminine,furniture,12
texture,color,6.0336,9,0.63,verde,tomate,liso,masculine,food,12
size,shape,6.0336,10,0.45,redondo,sof&aacute; ,min&uacute;sculo,masculine,furniture,12
texture,age,6.0336,11,0.64,viejo,sof&aacute; ,liso,masculine,furniture,12
age,texture,6.0336,12,0.75,duro,manzana,nuevo,feminine,food,12
color,age,6.0336,13,0.19,viejo,sof&aacute; ,amarillo,masculine,furniture,12
quality,age,6.0336,14,0.68,fresco,zanahoria,bueno,feminine,food,12
age,nationality,6.0336,15,0.51,americano,tomate,fresco,masculine,food,12
nationality,size,6.0336,16,0.82,largo,tomate,mexicano,masculine,food,12
nationality,age,6.0336,17,0.22,viejo,silla,americano,feminine,furniture,12
