"","workerid","noun","gender","nounclass","slide_number","predicate1","predicate2","class1","class2","response","language","school","age","assess","education","lived","level","family","years","describe","classes","gender.1"
"256","vi. 45","queso","masculine","food","24","bueno","fresco","quality","age",0.04,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"257","vi. 45","sof&aacute; ","masculine","furniture","25","peque&ntilde;o","morado","size","color",0.04,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"258","vi. 45","manzana","feminine","food","26","grande","liso","size","texture",0.01,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"259","vi. 45","escritorio","masculine","furniture","27","bueno","morado","quality","color",0.02,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"260","vi. 45","manzana","feminine","food","28","enorme","mexicano","size","nationality",0.02,"español","none",36,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"261","vi. 46","sof&aacute; ","masculine","furniture","3","suave","redondo","texture","shape",0.75,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"262","vi. 46","silla","feminine","furniture","4","largo","fresco","size","age",0.01,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"263","vi. 46","sof&aacute; ","masculine","furniture","5","viejo","verde","age","color",0.04,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"264","vi. 46","zanahoria","feminine","food","6","largo","redondo","size","shape",0.28,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"265","vi. 46","pl&aacute;tano","masculine","food","7","morado","enorme","color","size",0.8,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"266","vi. 46","zanahoria","feminine","food","8","fresco","liso","age","texture",0.8,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"267","vi. 46","escritorio","masculine","furniture","9","largo","duro","size","texture",0.97,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"268","vi. 46","queso","masculine","food","10","corto","verde","size","color",0.75,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"269","vi. 46","tomate","masculine","food","11","duro","podrido","texture","age",0.65,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"270","vi. 46","zanahoria","feminine","food","12","americano","rojo","nationality","color",0.96,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"271","vi. 46","pl&aacute;tano","masculine","food","13","rojo","corto","color","size",0.77,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"272","vi. 46","queso","masculine","food","14","mexicano","enorme","nationality","size",0.63,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"273","vi. 46","televisi&oacute;n ","feminine","furniture","15","min&uacute;sculo","malo","size","quality",0.97,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"274","vi. 46","pl&aacute;tano","masculine","food","16","verde","liso","color","texture",0.99,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"275","vi. 46","manzana","feminine","food","17","liso","redondo","texture","shape",0.01,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"276","vi. 46","televisi&oacute;n ","feminine","furniture","18","azul","suave","color","texture",0.84,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"277","vi. 46","escritorio","masculine","furniture","19","suave","espa&ntilde;ol","texture","nationality",0.3,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"278","vi. 46","televisi&oacute;n ","feminine","furniture","20","suave","bueno","texture","quality",0.03,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"279","vi. 46","escritorio","masculine","furniture","21","nuevo","liso","age","texture",0.96,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"280","vi. 46","silla","feminine","furniture","22","rojo","min&uacute;sculo","color","size",0.83,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"281","vi. 46","pl&aacute;tano","masculine","food","23","espa&ntilde;ol","morado","nationality","color",0.4,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"282","vi. 46","manzana","feminine","food","24","mexicano","peque&ntilde;o","nationality","size",0.76,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"283","vi. 46","manzana","feminine","food","25","largo","redondo","size","shape",0.33,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"284","vi. 46","sof&aacute; ","masculine","furniture","26","nuevo","rojo","age","color",0.03,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"285","vi. 46","queso","masculine","food","27","cuadrado","espa&ntilde;ol","shape","nationality",0.97,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"286","vi. 46","televisi&oacute;n ","feminine","furniture","28","liso","bueno","texture","quality",0,"Español","most",24,"Yes","3","both8","native","span","mostlive","SpanSpan","yes","Male"
"391","vi. 63","manzana","feminine","food","3","redondo","nuevo","shape","age",0.73,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"392","vi. 63","silla","feminine","furniture","4","duro","amarillo","texture","color",0.73,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"393","vi. 63","zanahoria","feminine","food","5","duro","redondo","texture","shape",0.75,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"394","vi. 63","televisi&oacute;n ","feminine","furniture","6","largo","marr&oacute;n","size","color",0.71,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"395","vi. 63","sof&aacute; ","masculine","furniture","7","min&uacute;sculo","malo","size","quality",0.71,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"396","vi. 63","pl&aacute;tano","masculine","food","8","morado","bueno","color","quality",0.73,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"397","vi. 63","zanahoria","feminine","food","9","peque&ntilde;o","morado","size","color",0.21,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"398","vi. 63","zanahoria","feminine","food","10","grande","bueno","size","quality",0.74,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"399","vi. 63","ventilador","masculine","furniture","11","largo","suave","size","texture",0.76,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"400","vi. 63","zanahoria","feminine","food","12","verde","nuevo","color","age",0.8,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"401","vi. 63","sof&aacute; ","masculine","furniture","13","viejo","malo","age","quality",0.18,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"402","vi. 63","sof&aacute; ","masculine","furniture","14","nuevo","liso","age","texture",0.78,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"403","vi. 63","sof&aacute; ","masculine","furniture","15","podrido","bueno","age","quality",0.2,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"404","vi. 63","ventilador","masculine","furniture","16","podrido","grande","age","size",0.78,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"405","vi. 63","pl&aacute;tano","masculine","food","17","suave","marr&oacute;n","texture","color",0.74,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"406","vi. 63","zanahoria","feminine","food","18","enorme","rojo","size","color",0.78,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"407","vi. 63","silla","feminine","furniture","19","podrido","duro","age","texture",0.72,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"408","vi. 63","tomate","masculine","food","20","duro","redondo","texture","shape",0.76,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"409","vi. 63","ventilador","masculine","furniture","21","malo","suave","quality","texture",0.21,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"410","vi. 63","sof&aacute; ","masculine","furniture","22","fresco","verde","age","color",0.73,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"411","vi. 63","queso","masculine","food","23","corto","americano","size","nationality",0.23,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"412","vi. 63","manzana","feminine","food","24","suave","azul","texture","color",0.8,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"413","vi. 63","zanahoria","feminine","food","25","grande","espa&ntilde;ol","size","nationality",0.73,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"414","vi. 63","ventilador","masculine","furniture","26","mexicano","grande","nationality","size",0.34,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"415","vi. 63","sof&aacute; ","masculine","furniture","27","verde","redondo","color","shape",0.71,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"416","vi. 63","escritorio","masculine","furniture","28","morado","duro","color","texture",0.26,"Español","most",43,"Yes","4","both8","native","span","mostlive","SpanSpan","yes","Male"
"417","vi. 64","zanahoria","feminine","food","3","nuevo","corto","age","size",0.3,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"418","vi. 64","manzana","feminine","food","4","americano","rojo","nationality","color",0.74,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"419","vi. 64","queso","masculine","food","5","amarillo","cuadrado","color","shape",0.24,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"420","vi. 64","ventilador","masculine","furniture","6","nuevo","enorme","age","size",0.75,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"421","vi. 64","pl&aacute;tano","masculine","food","7","rojo","corto","color","size",0.75,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"422","vi. 64","pl&aacute;tano","masculine","food","8","duro","nuevo","texture","age",0.6,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"423","vi. 64","ventilador","masculine","furniture","9","enorme","viejo","size","age",0.13,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"424","vi. 64","zanahoria","feminine","food","10","fresco","bueno","age","quality",0.11,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"425","vi. 64","sof&aacute; ","masculine","furniture","11","peque&ntilde;o","liso","size","texture",0.91,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"426","vi. 64","sof&aacute; ","masculine","furniture","12","amarillo","min&uacute;sculo","color","size",0.95,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"427","vi. 64","manzana","feminine","food","13","corto","azul","size","color",0.81,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"428","vi. 64","escritorio","masculine","furniture","14","bueno","espa&ntilde;ol","quality","nationality",0.8,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"429","vi. 64","escritorio","masculine","furniture","15","americano","rojo","nationality","color",0.13,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"430","vi. 64","queso","masculine","food","16","verde","nuevo","color","age",0.84,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"431","vi. 64","zanahoria","feminine","food","17","viejo","azul","age","color",0.2,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"432","vi. 64","ventilador","masculine","furniture","18","malo","cuadrado","quality","shape",0.17,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"433","vi. 64","televisi&oacute;n ","feminine","furniture","19","malo","liso","quality","texture",0.24,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"434","vi. 64","tomate","masculine","food","20","peque&ntilde;o","verde","size","color",0.83,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"435","vi. 64","sof&aacute; ","masculine","furniture","21","min&uacute;sculo","amarillo","size","color",0.75,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"436","vi. 64","escritorio","masculine","furniture","22","americano","redondo","nationality","shape",0.64,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"437","vi. 64","ventilador","masculine","furniture","23","suave","enorme","texture","size",0.73,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"438","vi. 64","queso","masculine","food","24","largo","azul","size","color",0.8,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"439","vi. 64","silla","feminine","furniture","25","espa&ntilde;ol","suave","nationality","texture",0.88,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"440","vi. 64","pl&aacute;tano","masculine","food","26","morado","peque&ntilde;o","color","size",0.88,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"441","vi. 64","manzana","feminine","food","27","duro","morado","texture","color",0.13,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"442","vi. 64","escritorio","masculine","furniture","28","enorme","morado","size","color",0.13,"español","most",37,"Yes","2","both8","native","spaneng","mostlive","SpanSpan","yes","Female"
"443","vi. 65","sof&aacute; ","masculine","furniture","3","suave","redondo","texture","shape",0.5,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"444","vi. 65","tomate","masculine","food","4","peque&ntilde;o","duro","size","texture",0.38,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"445","vi. 65","queso","masculine","food","5","liso","azul","texture","color",0.26,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"446","vi. 65","manzana","feminine","food","6","liso","amarillo","texture","color",0.33,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"447","vi. 65","ventilador","masculine","furniture","7","largo","cuadrado","size","shape",0.25,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"448","vi. 65","sof&aacute; ","masculine","furniture","8","grande","fresco","size","age",0.81,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"449","vi. 65","televisi&oacute;n ","feminine","furniture","9","largo","espa&ntilde;ol","size","nationality",0.47,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"450","vi. 65","manzana","feminine","food","10","marr&oacute;n","espa&ntilde;ol","color","nationality",0.16,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"451","vi. 65","escritorio","masculine","furniture","11","largo","nuevo","size","age",0.28,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"452","vi. 65","silla","feminine","furniture","12","min&uacute;sculo","morado","size","color",0.48,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"453","vi. 65","pl&aacute;tano","masculine","food","13","malo","viejo","quality","age",0.5,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"454","vi. 65","silla","feminine","furniture","14","espa&ntilde;ol","bueno","nationality","quality",0.66,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"455","vi. 65","pl&aacute;tano","masculine","food","15","nuevo","americano","age","nationality",0.29,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"456","vi. 65","pl&aacute;tano","masculine","food","16","redondo","liso","shape","texture",0.31,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"457","vi. 65","silla","feminine","furniture","17","bueno","podrido","quality","age",0.5,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"458","vi. 65","silla","feminine","furniture","18","nuevo","largo","age","size",0.47,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"459","vi. 65","ventilador","masculine","furniture","19","marr&oacute;n","espa&ntilde;ol","color","nationality",0.32,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"460","vi. 65","ventilador","masculine","furniture","20","suave","marr&oacute;n","texture","color",0.3,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"461","vi. 65","manzana","feminine","food","21","cuadrado","grande","shape","size",0.48,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"462","vi. 65","pl&aacute;tano","masculine","food","22","grande","rojo","size","color",0.48,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"463","vi. 65","televisi&oacute;n ","feminine","furniture","23","espa&ntilde;ol","verde","nationality","color",0.74,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"464","vi. 65","ventilador","masculine","furniture","24","azul","bueno","color","quality",0.67,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"465","vi. 65","zanahoria","feminine","food","25","espa&ntilde;ol","fresco","nationality","age",0.75,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"466","vi. 65","ventilador","masculine","furniture","26","suave","fresco","texture","age",0.32,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"467","vi. 65","pl&aacute;tano","masculine","food","27","cuadrado","peque&ntilde;o","shape","size",0.5,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"468","vi. 65","manzana","feminine","food","28","podrido","espa&ntilde;ol","age","nationality",0.72,"esp","most",33,"Yes","3","both8","native","span","mostlive","SpanSpan","noclasses","Female"
"703","0","ventilador","masculine","furniture","3","podrido","suave","age","texture",0.07,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"704","0","ventilador","masculine","furniture","4","suave","morado","texture","color",0.88,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"705","0","televisi&oacute;n ","feminine","furniture","5","fresco","cuadrado","age","shape",1,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"706","0","ventilador","masculine","furniture","6","malo","peque&ntilde;o","quality","size",0.23,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"707","0","tomate","masculine","food","7","cuadrado","peque&ntilde;o","shape","size",0.17,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"708","0","televisi&oacute;n ","feminine","furniture","8","fresco","azul","age","color",0.36,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"709","0","sof&aacute; ","masculine","furniture","9","enorme","verde","size","color",0.84,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"710","0","televisi&oacute;n ","feminine","furniture","10","nuevo","peque&ntilde;o","age","size",0.8,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"711","0","queso","masculine","food","11","mexicano","nuevo","nationality","age",0.77,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"712","0","ventilador","masculine","furniture","12","peque&ntilde;o","bueno","size","quality",0.93,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"713","0","manzana","feminine","food","13","corto","azul","size","color",0.05,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"714","0","queso","masculine","food","14","suave","largo","texture","size",0.9,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"715","0","silla","feminine","furniture","15","duro","morado","texture","color",0.76,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"716","0","sof&aacute; ","masculine","furniture","16","cuadrado","azul","shape","color",0.59,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"717","0","silla","feminine","furniture","17","cuadrado","rojo","shape","color",0.15,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"718","0","silla","feminine","furniture","18","rojo","bueno","color","quality",0.61,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"719","0","queso","masculine","food","19","fresco","amarillo","age","color",0.08,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"720","0","queso","masculine","food","20","espa&ntilde;ol","podrido","nationality","age",0.2,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"721","0","manzana","feminine","food","21","amarillo","peque&ntilde;o","color","size",0.28,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"722","0","manzana","feminine","food","22","fresco","malo","age","quality",0.77,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"723","0","manzana","feminine","food","23","redondo","bueno","shape","quality",0.18,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"724","0","manzana","feminine","food","24","fresco","malo","age","quality",0.84,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"725","0","pl&aacute;tano","masculine","food","25","min&uacute;sculo","duro","size","texture",0.74,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"726","0","sof&aacute; ","masculine","furniture","26","mexicano","largo","nationality","size",0.79,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"727","0","escritorio","masculine","furniture","27","viejo","peque&ntilde;o","age","size",0.67,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"728","0","queso","masculine","food","28","morado","duro","color","texture",0.43,"español","none",42,"Yes","4","both8","near native","span","mostlive","SpanSpan","no","Male"
"781","3","queso","masculine","food","3","bueno","americano","quality","nationality",1,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"782","3","pl&aacute;tano","masculine","food","4","redondo","amarillo","shape","color",0.05,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"783","3","sof&aacute; ","masculine","furniture","5","enorme","morado","size","color",0.94,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"784","3","televisi&oacute;n ","feminine","furniture","6","morado","grande","color","size",0.04,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"785","3","queso","masculine","food","7","suave","verde","texture","color",0.02,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"786","3","pl&aacute;tano","masculine","food","8","amarillo","americano","color","nationality",0.96,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"787","3","ventilador","masculine","furniture","9","nuevo","enorme","age","size",0.97,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"788","3","pl&aacute;tano","masculine","food","10","redondo","duro","shape","texture",0.04,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"789","3","escritorio","masculine","furniture","11","duro","espa&ntilde;ol","texture","nationality",0.97,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
"790","3","sof&aacute; ","masculine","furniture","12","cuadrado","americano","shape","nationality",0.98,"Española","most",52,"Yes","4","both8","native","span","mostlive","SpanSpan","noclasses","Male"
